Season,Team,Score,Country,Flag
1997–98,Bayer Leverkusen,1,Germany,23px-Flag_of_Germany.svg.png
1997–98,Bayern Munich,1,Germany,23px-Flag_of_Germany.svg.png
1997–98,Dynamo Kyiv,1,Ukraine,23px-Flag_of_Ukraine.svg.png
1997–98,Manchester United,1,England,23px-Flag_of_England.svg.png
1998–99,Manchester United,4,England,23px-Flag_of_England.svg.png
1998–99,Bayern Munich,3,Germany,23px-Flag_of_Germany.svg.png
1998–99,Juventus,2,Italy,23px-Flag_of_Italy.svg.png
1998–99,Dynamo Kyiv,2,Ukraine,23px-Flag_of_Ukraine.svg.png
1998–99,Real Madrid,1,Spain,23px-Flag_of_Spain.svg.png
1998–99,Internazionale,1,Italy,23px-Flag_of_Italy.svg.png
1998–99,Olympiacos,1,Greece,23px-Flag_of_Greece.svg.png
1998–99,Kaiserslautern,1,Germany,23px-Flag_of_Germany.svg.png
1999–20,Real Madrid,4,Spain,23px-Flag_of_Spain.svg.png
1999–20,Valencia,3,Spain,23px-Flag_of_Spain.svg.png
1999–20,Barcelona,2,Spain,23px-Flag_of_Spain.svg.png
1999–20,Bayern Munich,2,Germany,23px-Flag_of_Germany.svg.png
1999–20,Manchester United,1,England,23px-Flag_of_England.svg.png
1999–20,Porto,1,Portugal,23px-Flag_of_Portugal.svg.png
1999–20,Chelsea,1,England,23px-Flag_of_England.svg.png
1999–20,Lazio,1,Italy,23px-Flag_of_Italy.svg.png
2000–01,Bayern Munich,4,Germany,23px-Flag_of_Germany.svg.png
2000–01,Valencia,3,Spain,23px-Flag_of_Spain.svg.png
2000–01,Leeds United,2,England,23px-Flag_of_England.svg.png
2000–01,Real Madrid,2,Spain,23px-Flag_of_Spain.svg.png
2000–01,Deportivo La Coruña,1,Spain,23px-Flag_of_Spain.svg.png
2000–01,Arsenal,1,England,23px-Flag_of_England.svg.png
2000–01,Galatasaray,1,Turkey,23px-Flag_of_Turkey.svg.png
2000–01,Manchester United,1,England,23px-Flag_of_England.svg.png
2001–02,Bayer Leverkusen,3,Germany,23px-Flag_of_Germany.svg.png
2001–02,Real Madrid,4,Spain,23px-Flag_of_Spain.svg.png
2001–02,Barcelona,2,Spain,23px-Flag_of_Spain.svg.png
2001–02,Manchester United,2,England,23px-Flag_of_England.svg.png
2001–02,Panathinaikos,1,Greece,23px-Flag_of_Greece.svg.png
2001–02,Bayern Munich,1,Germany,23px-Flag_of_Germany.svg.png
2001–02,Deportivo La Coruña,1,Spain,23px-Flag_of_Spain.svg.png
2001–02,Liverpool,1,England,23px-Flag_of_England.svg.png
2002–03,Juventus,3,Italy,23px-Flag_of_Italy_%282003%E2%80%932006%29.svg.png
2002–03,Milan,4,Italy,23px-Flag_of_Italy_%282003%E2%80%932006%29.svg.png
2002–03,Real Madrid,2,Spain,23px-Flag_of_Spain.svg.png
2002–03,Internazionale,2,Italy,23px-Flag_of_Italy_%282003%E2%80%932006%29.svg.png
2002–03,Manchester United,1,England,23px-Flag_of_England.svg.png
2002–03,Ajax,1,Netherlands,23px-Flag_of_the_Netherlands.svg.png
2002–03,Valencia,1,Spain,23px-Flag_of_Spain.svg.png
2002–03,Barcelona,1,Spain,23px-Flag_of_Spain.svg.png
2003–04,Monaco,3,France,23px-Flag_of_France.svg.png
2003–04,Porto,4,Portugal,23px-Flag_of_Portugal.svg.png
2003–04,Chelsea,2,England,23px-Flag_of_England.svg.png
2003–04,Deportivo La Coruña,2,Spain,23px-Flag_of_Spain.svg.png
2003–04,Arsenal,1,England,23px-Flag_of_England.svg.png
2003–04,Milan,1,Italy,23px-Flag_of_Italy_%282003%E2%80%932006%29.svg.png
2003–04,Lyon,1,France,23px-Flag_of_France.svg.png
2003–04,Real Madrid,1,Spain,23px-Flag_of_Spain.svg.png
2004–05,Milan,3,Italy,23px-Flag_of_Italy_%282003%E2%80%932006%29.svg.png
2004–05,Liverpool,4,England,23px-Flag_of_England.svg.png
2004–05,Chelsea,2,England,23px-Flag_of_England.svg.png
2004–05,PSV Eindhoven,2,Netherlands,23px-Flag_of_the_Netherlands.svg.png
2004–05,Juventus,1,Italy,23px-Flag_of_Italy_%282003%E2%80%932006%29.svg.png
2004–05,Lyon,1,France,23px-Flag_of_France.svg.png
2004–05,Bayern Munich,1,Germany,23px-Flag_of_Germany.svg.png
2004–05,Internazionale,1,Italy,23px-Flag_of_Italy_%282003%E2%80%932006%29.svg.png
2005–06,Barcelona,4,Spain,23px-Flag_of_Spain.svg.png
2005–06,Arsenal,3,England,23px-Flag_of_England.svg.png
2005–06,Villarreal,2,Spain,23px-Flag_of_Spain.svg.png
2005–06,Milan,2,Italy,23px-Flag_of_Italy_%282003%E2%80%932006%29.svg.png
2005–06,Juventus,1,Italy,23px-Flag_of_Italy_%282003%E2%80%932006%29.svg.png
2005–06,Lyon,1,France,23px-Flag_of_France.svg.png
2005–06,Internazionale,1,Italy,23px-Flag_of_Italy_%282003%E2%80%932006%29.svg.png
2005–06,Benfica,1,Portugal,23px-Flag_of_Portugal.svg.png
2006–07,Milan,4,Italy,23px-Flag_of_Italy.svg.png
2006–07,Liverpool,3,England,23px-Flag_of_England.svg.png
2006–07,Chelsea,2,England,23px-Flag_of_England.svg.png
2006–07,Manchester United,2,England,23px-Flag_of_England.svg.png
2006–07,Bayern Munich,1,Germany,23px-Flag_of_Germany.svg.png
2006–07,PSV Eindhoven,1,Netherlands,23px-Flag_of_the_Netherlands.svg.png
2006–07,Roma,1,Italy,23px-Flag_of_Italy.svg.png
2006–07,Valencia,1,Spain,23px-Flag_of_Spain.svg.png
2007–08,Manchester United,4,England,23px-Flag_of_England.svg.png
2007–08,Chelsea,3,England,23px-Flag_of_England.svg.png
2007–08,Liverpool,2,England,23px-Flag_of_England.svg.png
2007–08,Barcelona,2,Spain,23px-Flag_of_Spain.svg.png
2007–08,Arsenal,1,England,23px-Flag_of_England.svg.png
2007–08,Roma,1,Italy,23px-Flag_of_Italy.svg.png
2007–08,Schalke 04,1,Germany,23px-Flag_of_Germany.svg.png
2007–08,Fenerbahçe,1,Turkey,23px-Flag_of_Turkey.svg.png
2008–09,Barcelona,4,Spain,23px-Flag_of_Spain.svg.png
2008–09,Manchester United,3,England,23px-Flag_of_England.svg.png
2008–09,Arsenal,2,England,23px-Flag_of_England.svg.png
2008–09,Chelsea,2,England,23px-Flag_of_England.svg.png
2008–09,Villarreal,1,Spain,23px-Flag_of_Spain.svg.png
2008–09,Porto,1,Portugal,23px-Flag_of_Portugal.svg.png
2008–09,Liverpool,1,England,23px-Flag_of_England.svg.png
2008–09,Bayern Munich,1,Germany,23px-Flag_of_Germany.svg.png
2009–10,Bayern Munich,3,Germany,23px-Flag_of_Germany.svg.png
2009–10,Inter Milan,4,Italy,23px-Flag_of_Italy.svg.png
2009–10,Lyon,2,France,23px-Flag_of_France.svg.png
2009–10,Barcelona,2,Spain,23px-Flag_of_Spain.svg.png
2009–10,Bordeaux,1,France,23px-Flag_of_France.svg.png
2009–10,Manchester United,1,England,23px-Flag_of_England.svg.png
2009–10,Arsenal,1,England,23px-Flag_of_England.svg.png
2009–10,CSKA Moscow,1,Russia,23px-Flag_of_Russia.svg.png
2010–11,Barcelona,4,Spain,23px-Flag_of_Spain.svg.png
2010–11,Manchester United,3,England,23px-Flag_of_England.svg.png
2010–11,Schalke 04,2,Germany,23px-Flag_of_Germany.svg.png
2010–11,Real Madrid,2,Spain,23px-Flag_of_Spain.svg.png
2010–11,Tottenham Hotspur,1,England,23px-Flag_of_England.svg.png
2010–11,Chelsea,1,England,23px-Flag_of_England.svg.png
2010–11,Shakhtar Donetsk,1,Ukraine,23px-Flag_of_Ukraine.svg.png
2010–11,Internazionale,1,Italy,23px-Flag_of_Italy.svg.png
2011–12,Bayern Munich,3,Germany,23px-Flag_of_Germany.svg.png
2011–12,Chelsea,4,England,23px-Flag_of_England.svg.png
2011–12,Real Madrid,2,Spain,23px-Flag_of_Spain.svg.png
2011–12,Barcelona,2,Spain,23px-Flag_of_Spain.svg.png
2011–12,APOEL,1,Cyprus,23px-Flag_of_Cyprus.svg.png
2011–12,Marseille,1,France,23px-Flag_of_France.svg.png
2011–12,Benfica,1,Portugal,23px-Flag_of_Portugal.svg.png
2011–12,Milan,1,Italy,23px-Flag_of_Italy.svg.png
2012–13,Borussia Dortmund,3,Germany,23px-Flag_of_Germany.svg.png
2012–13,Bayern Munich,4,Germany,23px-Flag_of_Germany.svg.png
2012–13,Barcelona,2,Spain,23px-Flag_of_Spain.svg.png
2012–13,Real Madrid,2,Spain,23px-Flag_of_Spain.svg.png
2012–13,Málaga,1,Spain,23px-Flag_of_Spain.svg.png
2012–13,Galatasaray,1,Turkey,23px-Flag_of_Turkey.svg.png
2012–13,Paris Saint-Germain,1,France,23px-Flag_of_France.svg.png
2012–13,Juventus,1,Italy,23px-Flag_of_Italy.svg.png
2013–14,Real Madrid,4,Spain,23px-Flag_of_Spain.svg.png
2013–14,Atlético Madrid,3,Spain,23px-Flag_of_Spain.svg.png
2013–14,Bayern Munich,2,Germany,23px-Flag_of_Germany.svg.png
2013–14,Chelsea,2,England,23px-Flag_of_England.svg.png
2013–14,Barcelona,1,Spain,23px-Flag_of_Spain.svg.png
2013–14,Borussia Dortmund,1,Germany,23px-Flag_of_Germany.svg.png
2013–14,Paris Saint-Germain,1,France,23px-Flag_of_France.svg.png
2013–14,Manchester United,1,England,23px-Flag_of_England.svg.png
2014–15,Juventus,3,Italy,23px-Flag_of_Italy.svg.png
2014–15,Barcelona,4,Spain,23px-Flag_of_Spain.svg.png
2014–15,Bayern Munich,2,Germany,23px-Flag_of_Germany.svg.png
2014–15,Real Madrid,2,Spain,23px-Flag_of_Spain.svg.png
2014–15,Paris Saint-Germain,1,France,23px-Flag_of_France.svg.png
2014–15,Atlético Madrid,1,Spain,23px-Flag_of_Spain.svg.png
2014–15,Porto,1,Portugal,23px-Flag_of_Portugal.svg.png
2014–15,Monaco,1,France,23px-Flag_of_France.svg.png
2015–16,Real Madrid,4,Spain,23px-Flag_of_Spain.svg.png
2015–16,Atlético Madrid,3,Spain,23px-Flag_of_Spain.svg.png
2015–16,Manchester City,2,England,23px-Flag_of_England.svg.png
2015–16,Bayern Munich,2,Germany,23px-Flag_of_Germany.svg.png
2015–16,VfL Wolfsburg,1,Germany,23px-Flag_of_Germany.svg.png
2015–16,Benfica,1,Portugal,23px-Flag_of_Portugal.svg.png
2015–16,Barcelona,1,Spain,23px-Flag_of_Spain.svg.png
2015–16,Paris Saint-Germain,1,France,23px-Flag_of_France.svg.png
2016–17,Juventus,3,Italy,23px-Flag_of_Italy.svg.png
2016–17,Real Madrid,4,Spain,23px-Flag_of_Spain.svg.png
2016–17,Atlético Madrid,2,Spain,23px-Flag_of_Spain.svg.png
2016–17,Monaco,2,France,23px-Flag_of_France.svg.png
2016–17,Leicester City,1,England,23px-Flag_of_England.svg.png
2016–17,Borussia Dortmund,1,Germany,23px-Flag_of_Germany.svg.png
2016–17,Bayern Munich,1,Germany,23px-Flag_of_Germany.svg.png
2016–17,Barcelona,1,Spain,23px-Flag_of_Spain.svg.png
2017–18,Real Madrid,4,Spain,23px-Flag_of_Spain.svg.png
2017–18,Liverpool,3,England,23px-Flag_of_England.svg.png
2017–18,Bayern Munich,2,Germany,23px-Flag_of_Germany.svg.png
2017–18,Roma,2,Italy,23px-Flag_of_Italy.svg.png
2017–18,Barcelona,1,Spain,23px-Flag_of_Spain.svg.png
2017–18,Sevilla,1,Spain,23px-Flag_of_Spain.svg.png
2017–18,Juventus,1,Italy,23px-Flag_of_Italy.svg.png
2017–18,Manchester City,1,England,23px-Flag_of_England.svg.png
2018–19,Tottenham Hotspur,3,England,23px-Flag_of_England.svg.png
2018–19,Liverpool,4,England,23px-Flag_of_England.svg.png
2018–19,Ajax,2,Netherlands,23px-Flag_of_the_Netherlands.svg.png
2018–19,Barcelona,2,Spain,23px-Flag_of_Spain.svg.png
2018–19,Juventus,1,Italy,23px-Flag_of_Italy.svg.png
2018–19,Porto,1,Portugal,23px-Flag_of_Portugal.svg.png
2018–19,Manchester City,1,England,23px-Flag_of_England.svg.png
2018–19,Manchester United,1,England,23px-Flag_of_England.svg.png
2019–20,Paris Saint-Germain,3,France,23px-Flag_of_France.svg.png
2019–20,Bayern Munich,4,Germany,23px-Flag_of_Germany.svg.png
2019–20,Lyon,2,France,23px-Flag_of_France.svg.png
2019–20,RB Leipzig,2,Germany,23px-Flag_of_Germany.svg.png
2019–20,Manchester City,1,England,23px-Flag_of_England.svg.png
2019–20,Atlético Madrid,1,Spain,23px-Flag_of_Spain.svg.png
2019–20,Barcelona,1,Spain,23px-Flag_of_Spain.svg.png
2019–20,Atalanta,1,Italy,23px-Flag_of_Italy.svg.png
2020–21,Manchester City,3,England,23px-Flag_of_England.svg.png
2020–21,Chelsea,4,England,23px-Flag_of_England.svg.png
2020–21,Paris Saint-Germain,2,France,23px-Flag_of_France.svg.png
2020–21,Real Madrid,2,Spain,23px-Flag_of_Spain.svg.png
2020–21,Borussia Dortmund,1,Germany,23px-Flag_of_Germany.svg.png
2020–21,Porto,1,Portugal,23px-Flag_of_Portugal.svg.png
2020–21,Bayern Munich,1,Germany,23px-Flag_of_Germany.svg.png
2020–21,Liverpool,1,England,23px-Flag_of_England.svg.png
2021–22,Liverpool,3,England,23px-Flag_of_England.svg.png
2021–22,Real Madrid,4,Spain,23px-Flag_of_Spain.svg.png
2021–22,Manchester City,2,England,23px-Flag_of_England.svg.png
2021–22,Villarreal,2,Spain,23px-Flag_of_Spain.svg.png
2021–22,Chelsea,1,England,23px-Flag_of_England.svg.png
2021–22,Atlético Madrid,1,Spain,23px-Flag_of_Spain.svg.png
2021–22,Bayern Munich,1,Germany,23px-Flag_of_Germany.svg.png
2021–22,Benfica,1,Portugal,23px-Flag_of_Portugal.svg.png
