Season,Team,Score,Country,Flag
1964–65,Benfica,3,Portugal,23px-Flag_of_Portugal.svg.png
1964–65,Liverpool,2,England,23px-Flag_of_England.svg.png
1964–65,Vasas ETO Győr,2,Hungary,23px-Flag_of_Hungary.svg.png
1964–65,Köln,1,West Germany,23px-Flag_of_Germany.svg.png
1964–65,Rangers,1,Scotland,23px-Flag_of_Scotland.svg.png
1964–65,DWS,1,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1964–65,Real Madrid,1,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1965–66,Real Madrid,4,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1965–66,Partizan,3,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1965–66,Internazionale,2,Italy,23px-Flag_of_Italy.svg.png
1965–66,Manchester United,2,England,23px-Flag_of_England.svg.png
1965–66,Anderlecht,1,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1965–66,Ferencváros,1,Hungary,23px-Flag_of_Hungary.svg.png
1965–66,Sparta Prague,1,Czechoslovakia,23px-Flag_of_the_Czech_Republic.svg.png
1965–66,Benfica,1,Portugal,23px-Flag_of_Portugal.svg.png
1966–67,Internazionale,3,Italy,23px-Flag_of_Italy.svg.png
1966–67,Celtic,4,Scotland,23px-Flag_of_Scotland.svg.png
1966–67,Dukla Prague,2,Czechoslovakia,23px-Flag_of_the_Czech_Republic.svg.png
1966–67,CSKA Red Flag,2,Bulgaria,23px-Flag_of_Bulgaria.svg.png
1966–67,Vojvodina,1,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1966–67,Ajax,1,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1966–67,Real Madrid,1,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1966–67,Linfield,1,Northern Ireland,23px-Flag_of_Northern_Ireland_%281953%E2%80%931972%29.svg.png
1967–68,Manchester United,4,England,23px-Flag_of_England.svg.png
1967–68,Benfica,3,Portugal,23px-Flag_of_Portugal.svg.png
1967–68,Real Madrid,2,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1967–68,Juventus,2,Italy,23px-Flag_of_Italy.svg.png
1967–68,Górnik Zabrze,1,Poland,23px-Flag_of_Poland_%281927%E2%80%931980%29.svg.png
1967–68,Sparta Prague,1,Czechoslovakia,23px-Flag_of_the_Czech_Republic.svg.png
1967–68,Vasas,1,Hungary,23px-Flag_of_Hungary.svg.png
1967–68,Eintracht Braunschweig,1,West Germany,23px-Flag_of_Germany.svg.png
1968–69,Milan,4,Italy,23px-Flag_of_Italy.svg.png
1968–69,Ajax,3,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1968–69,Manchester United,2,England,23px-Flag_of_England.svg.png
1968–69,Spartak Trnava,2,Czechoslovakia,23px-Flag_of_the_Czech_Republic.svg.png
1968–69,Celtic,1,Scotland,23px-Flag_of_Scotland.svg.png
1968–69,Rapid Wien,1,Austria,23px-Flag_of_Austria.svg.png
1968–69,Benfica,1,Portugal,23px-Flag_of_Portugal.svg.png
1968–69,AEK Athens,1,Greece,23px-Flag_of_Greece_%281822-1978%29.svg.png
1969–70,Feyenoord,4,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1969–70,Celtic,3,Scotland,23px-Flag_of_Scotland.svg.png
1969–70,Legia Warsaw,2,Poland,23px-Flag_of_Poland_%281927%E2%80%931980%29.svg.png
1969–70,Leeds United,2,England,23px-Flag_of_England.svg.png
1969–70,Galatasaray,1,Turkey,23px-Flag_of_Turkey.svg.png
1969–70,Vorwärts Berlin,1,East Germany,23px-Flag_of_East_Germany.svg.png
1969–70,Standard Liège,1,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1969–70,Fiorentina,1,Italy,23px-Flag_of_Italy.svg.png
1970–71,Ajax,4,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1970–71,Panathinaikos,3,Greece,23px-Flag_of_Greece_%281970-1975%29.svg.png
1970–71,Atlético Madrid,2,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1970–71,Red Star Belgrade,2,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1970–71,Legia Warsaw,1,Poland,23px-Flag_of_Poland_%281927%E2%80%931980%29.svg.png
1970–71,Celtic,1,Scotland,23px-Flag_of_Scotland.svg.png
1970–71,Carl Zeiss Jena,1,East Germany,23px-Flag_of_East_Germany.svg.png
1970–71,Everton,1,England,23px-Flag_of_England.svg.png
1971–72,Ajax,4,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1971–72,Internazionale,3,Italy,23px-Flag_of_Italy.svg.png
1971–72,Benfica,2,Portugal,23px-Flag_of_Portugal.svg.png
1971–72,Celtic,2,Scotland,23px-Flag_of_Scotland.svg.png
1971–72,Arsenal,1,England,23px-Flag_of_England.svg.png
1971–72,Feyenoord,1,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1971–72,Újpesti Dózsa,1,Hungary,23px-Flag_of_Hungary.svg.png
1971–72,Standard Liège,1,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1972–73,Ajax,4,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1972–73,Juventus,3,Italy,23px-Flag_of_Italy.svg.png
1972–73,Real Madrid,2,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1972–73,Derby County,2,England,23px-Flag_of_England.svg.png
1972–73,Bayern Munich,1,West Germany,23px-Flag_of_Germany.svg.png
1972–73,Dynamo Kyiv,1,Soviet Union,23px-Flag_of_the_Soviet_Union.svg.png
1972–73,Újpesti Dózsa,1,Hungary,23px-Flag_of_Hungary.svg.png
1972–73,Spartak Trnava,1,Czechoslovakia,23px-Flag_of_the_Czech_Republic.svg.png
1973–74,Bayern Munich,4,West Germany,23px-Flag_of_Germany.svg.png
1973–74,Atlético Madrid,3,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1973–74,Újpesti Dózsa,2,Hungary,23px-Flag_of_Hungary.svg.png
1973–74,Celtic,2,Scotland,23px-Flag_of_Scotland.svg.png
1973–74,Spartak Trnava,1,Czechoslovakia,23px-Flag_of_the_Czech_Republic.svg.png
1973–74,CSKA September Flag,1,Bulgaria,23px-Flag_of_Bulgaria_%281971%E2%80%931990%29.svg.png
1973–74,FC Basel,1,Switzerland,16px-Flag_of_Switzerland_%28Pantone%29.svg.png
1973–74,Red Star Belgrade,1,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1974–75,Bayern Munich,4,West Germany,23px-Flag_of_Germany.svg.png
1974–75,Leeds United,3,England,23px-Flag_of_England.svg.png
1974–75,Saint-Étienne,2,France,23px-Flag_of_France.svg.png
1974–75,Barcelona,2,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1974–75,Ruch Chorzów,1,Poland,23px-Flag_of_Poland_%281927%E2%80%931980%29.svg.png
1974–75,Ararat Yerevan,1,Soviet Union,23px-Flag_of_the_Soviet_Union.svg.png
1974–75,Anderlecht,1,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1974–75,Åtvidaberg,1,Sweden,23px-Flag_of_Sweden.svg.png
1975–76,Bayern Munich,4,West Germany,23px-Flag_of_Germany.svg.png
1975–76,Saint-Étienne,3,France,23px-Flag_of_France.svg.png
1975–76,Real Madrid,2,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1975–76,PSV Eindhoven,2,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1975–76,Borussia Mönchengladbach,1,West Germany,23px-Flag_of_Germany.svg.png
1975–76,Benfica,1,Portugal,23px-Flag_of_Portugal.svg.png
1975–76,Dynamo Kyiv,1,Soviet Union,23px-Flag_of_the_Soviet_Union.svg.png
1975–76,Hajduk Split,1,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1976–77,Liverpool,4,England,23px-Flag_of_England.svg.png
1976–77,Borussia Mönchengladbach,3,West Germany,23px-Flag_of_Germany.svg.png
1976–77,Zürich,2,Switzerland,16px-Flag_of_Switzerland_%28Pantone%29.svg.png
1976–77,Dynamo Kyiv,2,Soviet Union,23px-Flag_of_the_Soviet_Union.svg.png
1976–77,Dynamo Dresden,1,East Germany,23px-Flag_of_East_Germany.svg.png
1976–77,Saint-Étienne,1,France,23px-Flag_of_France.svg.png
1976–77,Bayern Munich,1,West Germany,23px-Flag_of_Germany.svg.png
1976–77,Club Brugge,1,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1977–78,Liverpool,4,England,23px-Flag_of_England.svg.png
1977–78,Club Brugge,3,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1977–78,Borussia Mönchengladbach,2,West Germany,23px-Flag_of_Germany.svg.png
1977–78,Juventus,2,Italy,23px-Flag_of_Italy.svg.png
1977–78,Wacker,1,Austria,23px-Flag_of_Austria.svg.png
1977–78,Benfica,1,Portugal,23px-Flag_of_Portugal.svg.png
1977–78,Ajax,1,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1977–78,Atlético Madrid,1,Spain,23px-Flag_of_Spain_%281977%E2%80%931981%29.svg.png
1978–79,Nottingham Forest,4,England,23px-Flag_of_England.svg.png
1978–79,Malmö FF,3,Sweden,23px-Flag_of_Sweden.svg.png
